Дата операции;Категория;Описание операции;Сумма;Валюта
02.03.2026;Образование;UCHI.RU MOSCOW RUS;-1490,00;RUB
03.03.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-1851,27;RUB
05.03.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
05.03.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-1747,61;RUB
05.03.2026;Аптеки;APTEKA.RU;-1691,49;RUB
09.03.2026;Развлечения;KINOPOISK MOSCOW RUS;-399,00;RUB
09.03.2026;Связь;MTS PAY MOSCOW RUS;-650,00;RUB
10.03.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
12.03.2026;Аптеки;APTEKA.RU;-1136,19;RUB
12.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-1927,18;RUB
13.03.2026;Транспорт;EKARTA POPOLNENIE;-707,79;RUB
14.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-1097,37;RUB
18.03.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-5767,13;RUB
18.03.2026;Аптеки;APTEKA.RU;-300,89;RUB
22.03.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
22.03.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-2383,84;RUB
23.03.2026;Аптеки;APTEKA ZHIVIKA 45;-318,95;RUB
23.03.2026;Аптеки;APTEKA ZHIVIKA 45;-449,82;RUB
25.03.2026;Прочие операции;SBERPRIME MOSCOW RUS;-399,00;RUB
26.03.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-1303,05;RUB
28.03.2026;Аптеки;APTEKA ZHIVIKA 45;-1064,84;RUB
01.04.2026;Аптеки;APTEKA.RU;-1640,21;RUB
01.04.2026;Образование;ООО УЧИ.РУ;-1490,00;RUB
04.04.2026;Аптеки;APTEKA ZHIVIKA 45;-878,51;RUB
05.04.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
06.04.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-609,71;RUB
07.04.2026;Развлечения;Кинопоиск;-399,00;RUB
09.04.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-236,38;RUB
09.04.2026;Кафе и рестораны;COFFEE LIKE EKB;-1018,90;RUB
09.04.2026;Связь;MTS PAY MOSCOW RUS;-650,00;RUB
10.04.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
13.04.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-1255,33;RUB
17.04.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-2430,10;RUB
17.04.2026;Транспорт;AZS GAZPROMNEFT 112;-3081,80;RUB
18.04.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-4265,88;RUB
21.04.2026;Аптеки;APTEKA.RU;-996,06;RUB
22.04.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
23.04.2026;Кафе и рестораны;VKUSNO I TOCHKA 0452;-606,58;RUB
25.04.2026;Аптеки;APTEKA.RU;-533,72;RUB
27.04.2026;Транспорт;YANDEX GO MOSCOW RUS;-1872,31;RUB
27.04.2026;Прочие операции;СберПрайм;-399,00;RUB
29.04.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-985,24;RUB
01.05.2026;Образование;UCHI.RU MOSCOW RUS;-1490,00;RUB
04.05.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-991,22;RUB
05.05.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
05.05.2026;Аптеки;APTEKA ZHIVIKA 45;-1194,82;RUB
07.05.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-1044,72;RUB
07.05.2026;Развлечения;KINOPOISK MOSCOW RUS;-399,00;RUB
09.05.2026;Аптеки;APTEKA ZHIVIKA 45;-1693,88;RUB
10.05.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
11.05.2026;Кафе и рестораны;VKUSNO I TOCHKA 0452;-570,05;RUB
11.05.2026;Связь;MTS PAY MOSCOW RUS;-650,00;RUB
15.05.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-4228,22;RUB
15.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-1401,30;RUB
18.05.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-4968,41;RUB
18.05.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-1045,89;RUB
22.05.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
22.05.2026;Транспорт;EKARTA POPOLNENIE;-1957,59;RUB
25.05.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-4231,62;RUB
25.05.2026;Прочие операции;SBERPRIME MOSCOW RUS;-399,00;RUB
26.05.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-5152,58;RUB
26.05.2026;Аптеки;APTEKA ZHIVIKA 45;-393,39;RUB
27.05.2026;Аптеки;APTEKA ZHIVIKA 45;-1511,29;RUB
31.05.2026;Транспорт;AZS GAZPROMNEFT 112;-1652,17;RUB
01.06.2026;Образование;ООО УЧИ.РУ;-1490,00;RUB
04.06.2026;Кафе и рестораны;VKUSNO I TOCHKA 0452;-265,37;RUB
05.06.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
08.06.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-2281,83;RUB
08.06.2026;Развлечения;Кинопоиск;-399,00;RUB
09.06.2026;Связь;MTS PAY MOSCOW RUS;-650,00;RUB
10.06.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
10.06.2026;Маркетплейсы;OZON.RU MOSCOW;-5110,59;RUB
12.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-2164,18;RUB
12.06.2026;Развлечения;OKKO.TV MOSCOW RUS;-499,00;RUB
14.06.2026;Транспорт;AZS GAZPROMNEFT 112;-2675,40;RUB
15.06.2026;Аптеки;APTEKA ZHIVIKA 45;-1681,96;RUB
17.06.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-1094,48;RUB
17.06.2026;Маркетплейсы;OZON.RU MOSCOW;-1529,66;RUB
