Дата операции;Категория;Описание операции;Сумма;Валюта
02.03.2026;Развлечения;KINOPOISK MOSCOW RUS;-399,00;RUB
04.03.2026;Развлечения;OKKO.TV MOSCOW RUS;-499,00;RUB
05.03.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
06.03.2026;Транспорт;EKARTA POPOLNENIE;-2639,45;RUB
06.03.2026;Развлечения;PREMIER.ONE MOSCOW;-599,00;RUB
09.03.2026;Аптеки;APTEKA.RU;-1151,11;RUB
09.03.2026;Развлечения;START.RU MOSCOW RUS;-399,00;RUB
10.03.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
10.03.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-798,56;RUB
11.03.2026;Развлечения;IVI.RU MOSCOW RUS;-399,00;RUB
12.03.2026;Аптеки;APTEKA.RU;-350,02;RUB
13.03.2026;Аптеки;APTEKA.RU;-1377,91;RUB
13.03.2026;Развлечения;ZVUK.COM MOSCOW;-299,00;RUB
16.03.2026;Развлечения;VK MUSIC MOSCOW RUS;-299,00;RUB
17.03.2026;Прочие операции;YANDEX.DISK MOSCOW RUS;-249,00;RUB
18.03.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-5584,31;RUB
19.03.2026;Прочие операции;CLOUD.MAIL.RU MOSCOW RUS;-399,00;RUB
21.03.2026;Маркетплейсы;OZON.RU MOSCOW;-5480,75;RUB
21.03.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-382,43;RUB
22.03.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
23.03.2026;Спорт;FITMOST.COM MOSCOW;-3990,00;RUB
24.03.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-1314,38;RUB
24.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-418,71;RUB
24.03.2026;Прочие операции;SBERPRIME MOSCOW RUS;-399,00;RUB
26.03.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-2307,27;RUB
27.03.2026;Прочие операции;APPLE.COM/BILL ITUNES.COM;-199,00;RUB
29.03.2026;Кафе и рестораны;COFFEE LIKE EKB;-1122,43;RUB
29.03.2026;Маркетплейсы;OZON.RU MOSCOW;-3553,09;RUB
02.04.2026;Аптеки;APTEKA ZHIVIKA 45;-762,05;RUB
02.04.2026;Транспорт;AZS GAZPROMNEFT 112;-1735,65;RUB
02.04.2026;Развлечения;KINOPOISK HD;-399,00;RUB
05.04.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
06.04.2026;Развлечения;OKKO.TV MOSCOW RUS;-499,00;RUB
06.04.2026;Развлечения;PREMIER.ONE MOSCOW;-599,00;RUB
08.04.2026;Развлечения;ООО СТАРТ;-399,00;RUB
10.04.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
10.04.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-2175,07;RUB
12.04.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-741,08;RUB
12.04.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-1269,16;RUB
13.04.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-593,22;RUB
13.04.2026;Развлечения;IVI.RU MOSCOW RUS;-399,00;RUB
13.04.2026;Развлечения;SBERZVUK;-299,00;RUB
14.04.2026;Транспорт;AZS GAZPROMNEFT 112;-1960,87;RUB
15.04.2026;Развлечения;ВК МУЗЫКА;-299,00;RUB
17.04.2026;Прочие операции;YANDEX.DISK MOSCOW RUS;-249,00;RUB
18.04.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-4736,84;RUB
18.04.2026;Маркетплейсы;OZON.RU MOSCOW;-1823,46;RUB
18.04.2026;Транспорт;AZS GAZPROMNEFT 112;-1420,22;RUB
20.04.2026;Аптеки;APTEKA ZHIVIKA 45;-593,76;RUB
20.04.2026;Прочие операции;CLOUD.MAIL.RU MOSCOW RUS;-399,00;RUB
21.04.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-1081,10;RUB
21.04.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-861,84;RUB
21.04.2026;Спорт;FITMOST.COM MOSCOW;-3990,00;RUB
22.04.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
24.04.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-1585,74;RUB
