Дата операции;Категория;Описание операции;Сумма;Валюта
03.03.2026;Книги;LITRES.RU MOSCOW;-1,00;RUB
04.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-2247,63;RUB
05.03.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
06.03.2026;Аптеки;APTEKA ZHIVIKA 45;-1682,92;RUB
10.03.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
16.03.2026;Развлечения;YANDEX.PLUS MOSCOW RUS;-299,00;RUB
18.03.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-5306,74;RUB
18.03.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-1988,48;RUB
20.03.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-1228,76;RUB
20.03.2026;Прочие операции;CLOUD.MAIL.RU MOSCOW RUS;-199,00;RUB
21.03.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-1769,98;RUB
22.03.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
23.03.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-4960,02;RUB
23.03.2026;Аптеки;APTEKA ZHIVIKA 45;-1373,73;RUB
25.03.2026;Аптеки;APTEKA.RU;-260,53;RUB
28.03.2026;Аптеки;APTEKA ZHIVIKA 45;-1246,91;RUB
29.03.2026;Транспорт;YANDEX GO MOSCOW RUS;-1243,67;RUB
31.03.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-1761,75;RUB
03.04.2026;Книги;LITRES.RU MOSCOW;-299,00;RUB
05.04.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
07.04.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-1401,02;RUB
10.04.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
12.04.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-407,88;RUB
13.04.2026;Кафе и рестораны;VKUSNO I TOCHKA 0452;-642,94;RUB
14.04.2026;Развлечения;Yandex Plus;-299,00;RUB
18.04.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-3955,02;RUB
20.04.2026;Прочие операции;Cloud Mail.ru;-199,00;RUB
22.04.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
25.04.2026;Транспорт;AZS GAZPROMNEFT 112;-887,32;RUB
26.04.2026;Маркетплейсы;OZON.RU MOSCOW;-4375,67;RUB
27.04.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-1487,05;RUB
28.04.2026;Аптеки;APTEKA.RU;-1550,13;RUB
29.04.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-592,46;RUB
30.04.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-2161,35;RUB
01.05.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-1205,28;RUB
04.05.2026;Книги;LITRES.RU MOSCOW;-299,00;RUB
05.05.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
05.05.2026;Кафе и рестораны;COFFEE LIKE EKB;-864,87;RUB
05.05.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-777,97;RUB
05.05.2026;Маркетплейсы;OZON.RU MOSCOW;-2831,65;RUB
10.05.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
10.05.2026;Маркетплейсы;OZON.RU MOSCOW;-1552,52;RUB
10.05.2026;Аптеки;APTEKA.RU;-387,37;RUB
13.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-724,31;RUB
